DATE,PRIME
04-08-55,3.25
14-10-55,3.5
13-04-56,3.75
21-08-56,4
06-08-57,4.5
22-01-58,4
21-04-58,3.5
11-09-58,4
18-05-59,4.5
01-09-59,5
23-08-60,4.5
06-12-65,5
10-03-66,5.5
29-06-66,5.75
16-08-66,6
26-01-67,5.75
27-03-67,5.5
20-11-67,6
19-04-68,6.5
25-09-68,6.25
02-12-68,6.5
18-12-68,6.75
07-01-69,7
17-03-69,7.5
09-06-69,8.5
25-03-70,8
21-09-70,7.5
12-11-70,7.25
23-11-70,7
22-12-70,6.75
06-01-71,6.5
15-01-71,6.25
18-01-71,6
16-02-71,5.75
11-03-71,5.5
19-03-71,5.25
23-04-71,5.5
07-07-71,6
20-10-71,5.75
08-11-71,5.5
17-12-71,5.25
03-01-72,5
18-01-72,4.75
16-02-72,4.5
20-03-72,4.75
31-03-72,5
27-06-72,5.25
29-08-72,5.5
03-10-72,5.75
27-12-72,6
27-02-73,6.25
26-03-73,6.5
19-04-73,6.75
07-05-73,7
25-05-73,7.25
07-06-73,7.5
22-06-73,7.75
02-07-73,8
09-07-73,8.25
18-07-73,8.5
30-07-73,8.75
06-08-73,9
13-08-73,9.25
21-08-73,9.5
28-08-73,9.75
18-09-73,10
23-10-73,9.75
29-10-73,9.5
03-12-73,9.75
29-01-74,9.5
11-02-74,9.25
19-02-74,9
25-02-74,8.75
22-03-74,9
01-04-74,9.25
04-04-74,9.5
08-04-74,9.75
11-04-74,10
22-04-74,10.25
25-04-74,10.5
02-05-74,10.75
07-05-74,11
10-05-74,11.25
17-05-74,11.5
27-06-74,11.75
08-07-74,12
08-10-74,11.75
22-10-74,11.25
06-11-74,11
13-11-74,10.75
25-11-74,10.25
13-01-75,10
28-01-75,9.5
03-02-75,9
18-02-75,8.75
24-02-75,8.5
03-03-75,8.25
10-03-75,8
19-03-75,7.75
25-03-75,7.5
20-05-75,7.25
09-06-75,7
18-07-75,7.25
25-07-75,7.5
11-08-75,7.75
15-09-75,8
27-10-75,7.75
04-11-75,7.5
01-12-75,7.25
12-01-76,7
21-01-76,6.75
01-06-76,7
04-06-76,7.25
02-08-76,7
01-10-76,6.75
29-10-76,6.5
10-12-76,6.25
