Date,Mar 2024,May 2024,Jul 2024,Sep 2024,diff
2023-01-03,614.5,617.75,616.75,575.0,0
2023-01-04,602.5,606.25,605.25,568.5,1
2023-01-05,599.0,602.25,601.25,566.75,1
2023-01-06,599.25,602.25,601.0,566.5,1
2023-01-09,598.0,601.25,600.0,565.0,3
2023-01-10,596.75,600.25,598.75,562.25,1
2023-01-11,596.75,600.0,598.75,560.0,1
2023-01-12,603.0,605.5,603.75,561.5,1
2023-01-13,605.25,608.0,605.75,563.25,1
2023-01-17,610.5,612.75,611.0,568.0,4
2023-01-18,607.75,610.5,608.5,565.75,1
2023-01-19,603.0,605.75,603.75,560.75,1
2023-01-20,602.5,605.0,603.25,561.0,1
2023-01-23,593.0,596.25,595.25,556.0,3
2023-01-24,598.25,601.25,600.25,559.0,1
2023-01-25,595.0,598.25,597.0,555.5,1
2023-01-26,596.75,599.5,598.0,557.5,1
2023-01-27,594.25,597.0,595.75,556.0,1
2023-01-30,596.75,599.75,598.75,561.25,3
2023-01-31,597.75,601.0,600.0,562.5,1
2023-02-01,603.25,606.25,605.25,565.5,1
2023-02-02,602.0,605.25,604.0,565.25,1
2023-02-03,602.75,605.75,604.75,565.25,1
2023-02-06,604.5,607.5,606.75,564.5,3
2023-02-07,600.5,603.75,602.75,562.25,1
2023-02-08,602.5,605.75,605.0,563.75,1
2023-02-09,597.75,602.0,601.5,562.25,1
2023-02-10,603.25,607.0,606.5,566.25,1
2023-02-13,604.25,608.0,607.5,567.0,3
2023-02-14,604.75,608.25,608.25,567.25,1
2023-02-15,602.25,606.0,605.75,566.25,1
2023-02-16,600.75,604.25,604.0,566.0,1
2023-02-17,603.0,606.5,606.25,566.25,1
2023-02-21,604.0,607.75,607.5,567.5,4
2023-02-22,599.75,603.75,603.75,565.75,1
2023-02-23,593.25,598.0,599.25,566.25,1
2023-02-24,584.5,589.25,591.25,561.25,1
2023-02-27,584.25,589.0,591.0,560.5,3
