Date,Mar 2022,May 2022,Jul 2022,Sep 2022,diff
2021-01-04,313.25,313.25,313.25,313.25,1
2021-01-05,316.75,316.75,316.75,316.75,1
2021-01-06,314.75,314.75,314.75,314.75,1
2021-01-07,308.5,308.5,308.5,308.5,1
2021-01-08,308.75,308.75,308.75,308.75,1
2021-01-11,309.0,309.0,309.0,309.0,3
2021-01-12,312.5,312.5,312.5,312.5,1
2021-01-13,313.25,313.25,313.25,313.25,1
2021-01-14,314.5,314.5,314.5,314.5,1
2021-01-15,314.25,314.25,314.25,314.25,1
2021-01-19,313.5,313.5,313.5,313.5,4
2021-01-20,317.25,317.25,317.25,317.25,1
2021-01-21,316.25,316.25,316.25,316.25,1
2021-01-22,308.75,308.75,308.75,308.75,1
2021-01-25,315.5,315.5,315.5,315.5,3
2021-01-26,316.5,316.5,316.5,316.5,1
2021-01-27,317.0,317.0,317.0,317.0,1
2021-01-28,310.0,310.0,310.0,310.0,1
2021-01-29,312.0,312.0,312.0,312.0,1
2021-02-01,308.25,308.25,308.25,308.25,3
2021-02-02,309.0,309.0,309.0,309.0,1
2021-02-03,313.25,313.25,313.25,313.25,1
2021-02-04,312.5,312.5,312.5,312.5,1
2021-02-05,314.0,314.0,314.0,314.0,1
2021-02-08,319.25,319.25,319.25,319.25,3
2021-02-09,321.25,321.25,321.25,321.25,1
2021-02-10,318.5,318.5,318.5,318.5,1
2021-02-11,322.5,323.0,323.0,323.0,1
2021-02-12,322.25,322.75,322.75,322.75,1
2021-02-16,327.5,328.0,328.0,328.0,4
2021-02-17,329.25,329.75,329.75,329.75,1
2021-02-18,324.75,325.25,325.25,325.25,1
2021-02-19,323.0,323.5,323.5,323.5,1
2021-02-22,327.25,327.75,327.75,327.75,3
2021-02-23,336.75,337.25,337.25,337.25,1
2021-02-24,346.0,346.5,346.5,346.5,1
2021-02-25,339.5,340.0,340.0,340.0,1
2021-02-26,338.5,339.0,339.0,339.0,1
2021-03-01,336.75,337.25,337.25,337.25,3
2021-03-02,344.25,344.75,344.75,344.75,1
2021-03-03,341.0,341.5,341.5,341.5,1
2021-03-04,346.0,346.5,346.5,346.5,1
2021-03-05,351.75,352.25,352.25,352.25,1
2021-03-08,359.25,359.75,359.75,359.75,3
2021-03-09,358.5,359.0,359.0,359.0,1
2021-03-10,354.0,354.5,354.5,354.5,1
2021-03-11,354.25,354.75,354.75,354.75,1
2021-03-12,349.75,350.25,350.25,350.25,1
2021-03-15,350.0,350.5,350.5,350.5,3
2021-03-16,348.5,349.0,349.0,349.0,1
2021-03-17,348.25,348.75,348.75,348.75,1
2021-03-18,343.75,344.25,344.25,344.25,1
2021-03-19,346.5,347.0,347.0,347.0,1
2021-03-22,351.75,352.25,352.25,352.25,3
2021-03-23,355.25,355.75,355.75,355.75,1
2021-03-24,355.75,356.25,356.25,356.25,1
2021-03-25,346.75,347.25,347.25,347.25,1
2021-03-26,348.75,349.25,349.25,349.25,1
2021-03-29,348.75,349.25,349.25,349.25,3
2021-03-30,347.25,347.75,347.75,347.75,1
2021-03-31,351.5,352.0,352.0,352.0,1
2021-04-01,348.25,347.0,347.0,347.0,1
2021-04-06,349.0,347.5,347.5,347.5,5
2021-04-07,349.5,348.0,348.0,348.0,1
2021-04-08,351.75,350.25,350.25,350.25,1
2021-04-09,351.5,350.25,350.25,350.25,1
2021-04-12,346.5,345.25,345.25,345.25,3
2021-04-13,349.0,347.5,347.5,347.5,1
2021-04-14,352.0,350.5,350.5,350.5,1
2021-04-15,351.75,350.5,350.5,350.5,1
2021-04-16,352.25,350.75,350.75,350.75,1
2021-04-19,352.25,350.75,350.75,350.75,3
2021-04-20,356.5,354.75,354.75,354.75,1
2021-04-21,363.75,362.0,362.0,362.0,1
2021-04-22,375.25,373.5,373.5,373.5,1
2021-04-23,374.0,372.5,372.5,372.5,1
2021-04-26,378.0,376.25,376.25,376.25,3
2021-04-27,379.5,377.75,377.75,377.75,1
2021-04-28,378.75,377.0,377.0,377.0,1
2021-04-29,379.0,377.25,377.25,377.25,1
2021-04-30,378.5,376.75,376.75,376.75,1
2021-05-03,381.75,380.0,380.0,380.0,3
2021-05-04,384.25,382.5,382.5,382.5,1
2021-05-05,393.5,391.75,391.75,391.75,1
2021-05-06,396.75,395.0,395.0,395.0,1
2021-05-07,397.0,395.25,395.25,395.25,1
2021-05-10,392.25,392.0,394.0,394.0,3
2021-05-11,393.75,393.0,395.0,395.0,1
2021-05-12,387.0,386.25,391.25,391.25,1
2021-05-13,372.0,372.5,376.25,376.25,1
2021-05-14,368.0,368.5,372.25,372.25,1
2021-05-17,360.25,360.75,364.5,364.5,3
2021-05-18,359.0,360.75,365.75,368.5,1
2021-05-19,356.0,356.5,360.25,363.0,1
2021-05-20,362.25,362.5,366.25,369.0,1
2021-05-21,360.5,361.0,364.75,367.5,1
2021-05-24,360.25,360.75,364.5,367.25,3
2021-05-25,365.25,365.5,369.25,372.0,1
2021-05-26,368.5,368.75,372.5,375.25,1
2021-05-27,377.25,377.5,381.25,384.0,1
2021-05-28,382.0,382.0,385.75,388.5,1
2021-06-01,386.25,386.5,390.25,393.0,4
2021-06-02,386.0,386.5,390.25,393.0,1
2021-06-03,379.0,379.5,383.25,386.0,1
2021-06-04,390.75,391.0,394.75,397.5,1
2021-06-07,395.25,395.5,399.25,402.0,3
2021-06-08,399.25,399.5,403.25,406.0,1
2021-06-09,392.25,392.75,396.5,399.25,1
2021-06-10,389.5,390.0,393.75,396.5,1
2021-06-11,383.5,384.0,387.75,390.5,1
2021-06-14,373.0,373.5,377.25,380.0,3
2021-06-15,365.75,365.25,366.5,369.25,1
2021-06-16,374.75,374.25,375.5,378.25,1
2021-06-17,369.75,371.0,375.5,378.25,1
2021-06-18,374.75,373.75,375.0,377.75,1
2021-06-21,364.5,365.0,368.5,371.25,3
2021-06-22,363.5,364.0,367.75,370.5,1
2021-06-23,369.0,369.25,372.75,375.5,1
2021-06-24,377.5,377.75,381.25,384.0,1
2021-06-25,378.0,378.25,381.75,384.5,1
2021-06-28,386.0,386.25,386.75,389.5,3
2021-06-29,388.5,388.75,388.25,391.0,1
2021-06-30,394.5,395.25,395.75,398.5,1
2021-07-01,389.5,390.5,391.25,394.0,1
2021-07-02,390.0,390.75,391.5,394.25,1
2021-07-06,373.5,374.5,375.25,378.0,4
2021-07-07,376.0,377.0,377.25,380.0,1
2021-07-08,380.25,381.25,381.75,384.5,1
2021-07-09,390.75,391.75,392.25,395.0,1
2021-07-12,403.5,404.5,404.0,406.75,3
2021-07-13,417.5,418.75,419.75,422.5,1
2021-07-14,419.75,419.5,418.0,420.75,1
2021-07-15,431.5,431.0,429.25,432.0,1
2021-07-16,428.5,428.25,426.75,428.75,1
2021-07-19,425.5,425.25,423.75,424.75,3
2021-07-20,441.75,441.5,440.0,440.0,1
2021-07-21,447.0,446.75,445.25,445.25,1
2021-07-22,448.25,448.0,447.5,447.5,1
2021-07-23,454.75,454.25,453.5,453.5,1
2021-07-26,456.25,455.5,454.75,454.75,3
2021-07-27,462.75,462.0,461.25,461.25,1
2021-07-28,460.5,460.0,459.5,459.5,1
2021-07-29,460.5,460.0,459.5,459.5,1
2021-07-30,446.25,447.0,446.5,446.5,1
2021-08-02,449.5,447.75,447.0,447.0,3
2021-08-03,443.0,441.5,440.75,440.75,1
2021-08-04,441.75,440.25,438.75,438.75,1
2021-08-05,450.5,448.75,448.0,448.0,1
2021-08-06,456.5,453.75,452.75,452.75,1
2021-08-09,457.25,454.5,453.5,453.5,3
2021-08-10,457.0,455.25,454.25,454.25,1
2021-08-11,456.5,455.0,454.25,454.25,1
2021-08-12,465.5,463.75,462.5,462.5,1
2021-08-13,485.5,478.75,473.0,473.0,1
2021-08-16,494.25,490.25,485.25,473.0,3
2021-08-17,500.75,497.25,492.75,470.0,1
2021-08-18,486.5,485.25,481.5,458.75,1
2021-08-19,488.25,486.0,480.5,457.75,1
2021-08-20,492.75,489.75,484.5,461.75,1
2021-08-23,496.75,495.0,492.75,470.0,3
2021-08-24,504.75,503.0,501.0,467.5,1
2021-08-25,511.25,508.5,506.25,467.25,1
2021-08-26,508.25,506.0,504.0,465.0,1
2021-08-27,517.5,514.25,510.25,468.0,1
2021-08-30,507.75,504.75,501.5,466.5,3
2021-08-31,501.5,498.75,495.5,460.5,1
2021-09-01,500.25,498.5,495.25,459.75,1
2021-09-02,505.25,503.75,498.5,460.0,1
2021-09-03,509.25,507.5,502.75,457.0,1
2021-09-07,502.75,501.25,496.5,450.75,4
2021-09-08,498.75,497.5,492.75,447.0,1
2021-09-09,487.5,486.5,481.75,436.0,1
2021-09-10,492.0,490.75,485.75,440.0,1
2021-09-13,508.5,506.75,502.0,456.25,3
2021-09-14,512.25,510.75,506.0,462.25,1
2021-09-15,534.0,530.0,525.75,482.0,1
2021-09-16,545.25,539.75,531.75,480.0,1
2021-09-17,538.0,536.0,527.75,477.5,1
2021-09-20,531.0,530.25,524.25,474.0,3
2021-09-21,531.0,530.0,524.5,466.0,1
2021-09-22,556.0,551.25,543.25,478.75,1
2021-09-23,569.75,558.5,543.75,479.25,1
2021-09-24,566.5,556.75,543.75,476.25,1
2021-09-27,577.5,568.25,551.75,473.75,3
2021-09-28,574.75,566.75,551.5,473.75,1
2021-09-29,576.25,567.5,554.0,477.0,1
2021-09-30,572.5,564.5,550.25,475.75,1
2021-10-01,581.25,573.75,558.25,479.0,1
2021-10-04,590.5,582.75,562.0,483.5,3
2021-10-05,583.5,575.75,556.0,481.0,1
2021-10-06,586.25,574.0,555.25,485.25,1
2021-10-07,611.0,599.0,573.5,494.25,1
2021-10-08,640.0,631.0,597.75,516.5,1
2021-10-11,658.75,650.25,614.75,522.25,3
2021-10-12,633.75,625.25,590.25,500.25,1
2021-10-13,620.75,611.0,578.75,483.0,1
2021-10-14,622.75,613.5,582.25,484.5,1
2021-10-15,644.25,632.25,599.25,502.5,1
2021-10-18,645.5,635.5,601.25,503.25,3
