Date,Mar 2019,May 2019,Jul 2019,Sep 2019,diff
2018-01-02,994.5,999.75,1006.0,995.5,0
2018-01-03,998.0,1003.25,1009.25,999.0,1
2018-01-04,997.5,1002.75,1008.75,998.25,1
2018-01-05,998.5,1003.75,1009.75,999.25,1
2018-01-08,997.0,1002.25,1008.25,998.0,3
2018-01-09,996.25,1001.5,1007.5,997.0,1
2018-01-10,987.5,993.0,999.0,987.5,1
2018-01-11,985.0,990.5,996.75,985.5,1
2018-01-12,996.75,1001.75,1007.75,996.75,1
2018-01-16,1001.0,1005.5,1011.0,999.25,4
2018-01-17,1001.0,1005.25,1010.75,999.25,1
2018-01-18,1005.25,1009.75,1015.25,1003.5,1
2018-01-19,1006.75,1010.75,1016.0,1003.75,1
2018-01-22,1011.25,1015.0,1020.0,1007.75,3
2018-01-23,1012.0,1015.75,1021.5,1009.5,1
2018-01-24,1016.25,1019.75,1025.25,1011.25,1
2018-01-25,1015.75,1019.5,1025.25,1011.5,1
2018-01-26,1012.75,1016.75,1022.5,1008.75,1
2018-01-29,1016.25,1020.0,1025.75,1011.75,3
2018-01-30,1020.75,1024.25,1029.75,1013.75,1
2018-01-31,1017.25,1020.5,1025.75,1010.0,1
2018-02-01,1010.75,1014.0,1019.75,1004.0,1
2018-02-02,1005.0,1007.75,1013.0,999.0,1
2018-02-05,998.25,1001.5,1006.75,992.75,3
2018-02-06,1011.25,1014.25,1019.0,1004.75,1
2018-02-07,1007.0,1010.0,1015.25,1001.25,1
2018-02-08,1009.75,1013.0,1018.25,1002.5,1
2018-02-09,1006.0,1009.0,1014.75,998.75,1
2018-02-12,1016.75,1017.75,1022.5,1006.5,3
2018-02-13,1020.5,1021.0,1025.75,1009.0,1
2018-02-14,1016.75,1016.5,1021.25,1004.25,1
2018-02-15,1022.0,1022.0,1026.25,1008.5,1
2018-02-16,1020.5,1021.0,1026.0,1008.5,1
2018-02-20,1025.0,1025.5,1030.0,1011.75,4
2018-02-21,1028.0,1028.25,1032.0,1014.0,1
2018-02-22,1026.75,1025.75,1030.75,1012.5,1
2018-02-23,1029.0,1029.0,1032.5,1014.0,1
2018-02-26,1029.5,1029.25,1032.75,1014.0,3
2018-02-27,1029.75,1028.75,1032.25,1011.25,1
2018-02-28,1030.25,1028.75,1032.5,1012.0,1
2018-03-01,1037.0,1036.25,1039.25,1014.75,1
2018-03-02,1037.25,1036.5,1038.75,1013.25,1
2018-03-05,1042.25,1041.0,1042.75,1016.75,3
2018-03-06,1045.75,1044.75,1046.0,1022.0,1
2018-03-07,1045.75,1044.25,1045.5,1021.75,1
2018-03-08,1045.75,1044.75,1046.0,1022.25,1
2018-03-09,1030.5,1029.5,1032.0,1008.25,1
2018-03-12,1037.25,1036.25,1038.75,1015.0,3
2018-03-13,1044.5,1042.5,1045.25,1021.25,1
2018-03-14,1029.5,1028.0,1030.5,1006.75,1
2018-03-15,1032.5,1031.0,1033.75,1010.25,1
2018-03-16,1040.0,1038.25,1039.75,1015.75,1
2018-03-19,1024.0,1023.5,1026.75,1004.75,3
2018-03-20,1027.0,1026.75,1029.75,1008.0,1
2018-03-21,1027.5,1027.5,1030.0,1008.25,1
2018-03-22,1028.25,1028.25,1030.75,1009.0,1
2018-03-23,1028.25,1028.75,1031.25,1009.0,1
2018-03-26,1026.75,1027.25,1030.0,1007.5,3
