Date,Mar 2024,May 2024,Jul 2024,Sep 2024,diff
2023-01-03,812.75,811.5,792.75,792.5,0
2023-01-04,786.75,786.5,769.0,769.5,1
2023-01-05,785.25,785.75,768.5,771.0,1
2023-01-06,784.0,784.5,766.75,771.5,1
2023-01-09,784.0,784.5,766.5,770.0,3
2023-01-10,774.5,774.75,757.0,758.75,1
2023-01-11,782.0,782.75,765.0,767.25,1
2023-01-12,784.25,785.0,767.5,768.5,1
2023-01-13,784.0,785.75,772.5,772.75,1
2023-01-17,791.0,792.25,778.5,778.25,4
2023-01-18,785.0,786.5,773.25,773.5,1
2023-01-19,778.75,780.25,767.0,768.75,1
2023-01-20,784.5,786.0,772.0,773.5,1
2023-01-23,764.0,765.75,751.25,753.0,3
2023-01-24,775.25,776.25,762.0,762.25,1
2023-01-25,778.75,779.25,764.75,764.5,1
2023-01-26,790.5,790.0,774.5,774.25,1
2023-01-27,787.75,787.75,773.0,772.5,1
2023-01-30,791.5,791.25,776.75,777.75,3
2023-01-31,799.75,799.75,784.25,785.5,1
2023-02-01,801.75,802.0,786.75,785.75,1
2023-02-02,805.25,805.25,788.75,787.75,1
2023-02-03,803.0,803.0,787.0,785.75,1
2023-02-06,798.5,799.0,782.25,779.75,3
2023-02-07,799.25,799.25,780.5,779.25,1
2023-02-08,810.0,810.0,791.0,788.25,1
2023-02-09,804.0,803.75,786.0,783.5,1
2023-02-10,826.75,825.5,804.5,798.0,1
2023-02-13,829.25,828.0,805.75,800.5,3
2023-02-14,827.5,826.25,804.0,798.25,1
2023-02-15,816.25,815.5,794.5,790.0,1
2023-02-16,813.0,812.5,791.25,786.75,1
2023-02-17,811.5,811.25,790.75,786.5,1
2023-02-21,801.25,801.75,780.75,777.5,4
2023-02-22,789.5,789.5,768.75,765.5,1
2023-02-23,788.0,788.0,767.5,765.0,1
2023-02-24,763.25,763.5,743.25,742.5,1
2023-02-27,755.0,756.75,739.5,738.25,3
2023-02-28,752.5,755.0,738.5,738.25,1
2023-03-01,757.0,759.75,743.75,743.0,1
2023-03-02,757.75,760.75,745.25,745.0,1
2023-03-03,755.25,758.5,743.0,743.25,1
2023-03-06,743.25,747.75,733.5,734.0,3
2023-03-07,745.0,748.75,733.0,733.25,1
2023-03-08,734.75,738.0,723.25,723.75,1
2023-03-09,717.75,722.25,707.0,707.75,1
2023-03-10,729.0,733.5,717.0,718.0,1
2023-03-13,734.0,738.25,721.5,722.75,3
2023-03-14,744.0,747.5,730.0,730.0,1
2023-03-15,749.0,751.5,730.75,729.75,1
2023-03-16,743.25,745.25,723.75,722.25,1
2023-03-17,752.0,753.25,731.0,729.25,1
2023-03-20,738.5,740.0,718.0,717.0,3
2023-03-21,727.0,729.75,709.5,708.25,1
2023-03-22,712.5,716.5,698.5,698.0,1
2023-03-23,714.0,718.25,699.75,701.75,1
2023-03-24,738.75,742.25,723.75,724.25,1
2023-03-27,749.75,752.75,733.0,733.25,3
2023-03-28,752.0,754.25,734.75,735.5,1
2023-03-29,755.5,757.5,736.5,736.75,1
2023-03-30,746.5,749.75,730.5,731.5,1
2023-03-31,746.25,749.25,730.5,732.0,1
2023-04-03,750.0,752.75,734.5,736.25,3
2023-04-04,746.5,748.75,732.25,733.75,1
2023-04-05,738.25,741.5,725.0,726.75,1
2023-04-06,731.0,734.25,718.75,720.75,1
2023-04-11,723.25,726.5,711.5,714.25,5
2023-04-12,724.0,726.5,712.0,714.25,1
2023-04-13,712.75,716.25,702.25,704.75,1
2023-04-14,727.5,729.5,715.0,717.25,1
2023-04-17,742.25,744.0,728.5,730.0,3
2023-04-18,744.25,746.25,731.25,732.75,1
2023-04-19,729.5,731.5,716.5,718.75,1
2023-04-20,715.75,717.5,704.0,707.25,1
2023-04-21,706.75,708.5,698.25,702.0,1
2023-04-24,696.75,700.0,693.75,699.75,3
2023-04-25,693.25,697.25,690.75,698.0,1
2023-04-26,682.5,686.25,682.0,690.5,1
2023-04-27,669.25,673.5,670.75,680.0,1
2023-04-28,674.25,679.25,676.5,685.25,1
2023-05-02,650.5,657.25,659.25,671.0,4
2023-05-03,678.0,684.25,684.5,694.75,1
2023-05-04,684.75,690.25,689.5,698.25,1
2023-05-05,697.5,701.5,699.25,708.75,1
2023-05-08,693.5,698.5,698.0,708.0,3
2023-05-09,684.0,690.25,691.5,701.0,1
2023-05-10,680.75,686.75,687.25,697.25,1
2023-05-11,668.5,675.25,676.25,686.25,1
2023-05-12,676.5,682.5,682.5,692.0,1
2023-05-15,699.5,704.75,703.5,712.25,3
2023-05-16,689.25,695.0,694.25,703.0,1
2023-05-17,669.75,676.75,676.5,685.0,1
2023-05-18,657.5,665.25,665.25,673.75,1
2023-05-19,650.75,659.25,661.25,669.5,1
2023-05-22,651.25,658.75,661.5,670.25,3
2023-05-23,665.0,671.75,673.75,682.25,1
2023-05-24,651.0,657.5,660.25,669.25,1
2023-05-25,650.75,657.5,661.25,670.0,1
2023-05-26,661.25,668.5,673.0,681.75,1
2023-05-30,640.5,648.25,654.0,664.0,4
2023-05-31,642.0,649.75,656.0,665.75,1
2023-06-01,659.25,667.25,672.75,682.0,1
2023-06-02,667.5,676.25,682.5,692.5,1
2023-06-05,671.25,680.25,686.5,696.25,3
2023-06-06,674.0,683.25,688.25,697.5,1
2023-06-07,660.5,669.5,674.0,683.0,1
2023-06-08,670.75,679.75,685.0,694.75,1
2023-06-09,672.0,681.0,686.25,696.0,1
2023-06-12,676.5,685.0,690.0,699.0,3
2023-06-13,677.75,686.5,692.0,701.25,1
2023-06-14,671.0,679.25,684.25,693.75,1
2023-06-15,699.0,706.25,710.5,719.0,1
2023-06-16,727.25,734.0,736.0,743.75,1
2023-06-19,727.25,734.0,736.0,743.75,3
2023-06-20,735.75,741.5,742.5,749.25,1
2023-06-21,774.25,776.75,774.5,778.25,1
2023-06-22,782.25,784.5,780.25,782.75,1
2023-06-23,773.5,776.0,770.5,772.25,1
2023-06-26,770.0,774.25,772.5,775.75,3
2023-06-27,731.0,736.75,736.75,741.0,1
2023-06-28,702.0,709.75,712.75,719.25,1
2023-06-29,699.0,706.25,708.5,714.25,1
2023-06-30,685.25,693.75,697.75,705.25,1
2023-07-03,677.0,685.75,691.0,699.25,3
2023-07-05,705.5,713.25,715.0,721.25,2
2023-07-06,693.0,701.5,704.75,711.75,1
2023-07-07,682.0,690.25,693.5,700.5,1
2023-07-10,678.75,687.25,690.5,697.75,3
2023-07-11,692.25,699.5,702.25,709.5,1
2023-07-12,668.25,677.25,681.75,690.25,1
2023-07-13,676.5,685.75,690.0,698.75,1
2023-07-14,696.75,704.5,707.75,715.25,1
2023-07-17,689.0,696.75,699.75,707.5,3
2023-07-18,706.25,713.75,717.25,725.25,1
2023-07-19,759.25,763.75,762.5,766.5,1
2023-07-20,760.5,764.5,760.75,763.25,1
2023-07-21,734.5,741.25,739.0,742.75,1
2023-07-24,792.0,794.75,786.75,786.5,3
2023-07-25,796.5,797.75,788.25,787.25,1
2023-07-26,759.5,764.0,760.75,763.0,1
2023-07-27,754.25,761.25,758.75,761.0,1
2023-07-28,747.75,755.75,754.5,758.25,1
2023-07-31,714.5,724.5,727.25,733.75,3
2023-08-01,701.0,713.25,718.5,726.75,1
2023-08-02,691.25,704.75,709.25,717.25,1
2023-08-03,681.75,697.25,704.5,713.5,1
2023-08-04,686.25,700.5,706.75,715.25,1
2023-08-07,704.75,717.25,721.25,728.25,3
2023-08-08,705.5,718.5,723.75,731.75,1
2023-08-09,687.75,703.0,709.5,718.5,1
2023-08-10,687.75,702.75,709.0,718.0,1
2023-08-11,680.0,696.25,703.0,712.5,1
2023-08-14,667.5,682.75,689.5,698.75,3
2023-08-15,649.25,664.5,671.75,681.5,1
2023-08-16,648.25,664.25,672.0,681.5,1
2023-08-17,640.75,656.5,664.25,674.25,1
2023-08-18,662.75,677.25,683.25,691.5,1
2023-08-21,651.0,666.75,673.0,681.25,3
2023-08-22,652.25,667.5,673.5,681.75,1
2023-08-23,665.5,681.0,687.25,695.75,1
2023-08-24,658.0,674.0,681.25,690.5,1
2023-08-25,648.75,665.25,672.75,682.5,1
2023-08-28,644.0,660.5,668.75,679.25,3
2023-08-29,627.75,645.75,656.5,669.0,1
2023-08-30,633.5,650.0,659.0,671.0,1
2023-08-31,628.75,645.5,654.5,666.5,1
2023-09-01,622.0,639.0,647.25,658.25,1
2023-09-05,625.0,640.25,647.75,658.25,4
2023-09-06,634.5,651.0,659.0,670.0,1
2023-09-07,625.75,643.0,652.0,663.5,1
2023-09-08,621.75,638.75,647.75,659.75,1
2023-09-11,610.75,627.5,637.5,650.25,3
2023-09-12,614.0,630.5,640.0,652.75,1
2023-09-13,623.5,640.0,647.5,659.0,1
2023-09-14,620.25,636.75,644.25,655.5,1
2023-09-15,629.5,645.25,652.0,662.5,1
2023-09-18,616.75,633.25,640.5,651.25,3
2023-09-19,610.25,627.25,636.0,647.75,1
2023-09-20,614.75,630.75,639.5,651.5,1
2023-09-21,602.25,619.0,628.75,640.75,1
2023-09-22,606.5,623.75,633.5,645.75,1
2023-09-25,615.5,632.75,642.75,654.75,3
2023-09-26,616.25,633.75,644.25,657.0,1
2023-09-27,607.25,626.0,637.75,651.25,1
2023-09-28,606.5,624.75,636.25,649.0,1
2023-09-29,573.5,594.75,612.25,628.75,1
2023-10-02,596.0,615.0,631.0,646.0,3
2023-10-03,597.75,617.0,632.75,646.75,1
2023-10-04,589.0,607.0,623.0,637.75,1
2023-10-05,607.0,625.5,641.75,656.5,1
2023-10-06,598.0,617.0,634.0,648.5,1
2023-10-09,603.5,623.25,640.75,655.0,3
2023-10-10,590.0,610.5,628.75,643.5,1
2023-10-11,587.25,607.25,625.25,640.0,1
2023-10-12,601.5,619.75,636.25,650.25,1
2023-10-13,606.25,622.5,636.75,649.5,1
2023-10-16,604.5,620.75,634.75,647.75,3
2023-10-17,598.75,616.0,631.25,645.5,1
2023-10-18,608.0,624.25,638.5,651.75,1
2023-10-19,619.75,634.75,647.75,659.5,1
2023-10-20,613.5,630.75,645.5,659.25,1
2023-10-23,615.0,631.5,645.25,658.0,3
2023-10-24,607.5,623.75,637.5,650.5,1
2023-10-25,596.25,613.5,629.0,643.5,1
2023-10-26,606.0,622.25,636.5,650.25,1
2023-10-27,602.5,619.0,633.75,647.75,1
2023-10-30,594.25,611.75,627.5,642.25,3
2023-10-31,585.25,603.0,619.25,634.25,1
2023-11-01,589.5,607.75,623.5,637.5,1
