Date,Mar 2023,May 2023,Jul 2023,Sep 2023,diff
2022-01-03,1266.5,1258.0,1259.25,1233.0,1
2022-01-04,1278.75,1267.5,1267.75,1239.5,1
2022-01-05,1284.0,1273.5,1273.75,1242.75,1
2022-01-06,1288.75,1280.75,1281.75,1252.25,1
2022-01-07,1304.0,1295.25,1296.0,1266.5,1
2022-01-10,1287.5,1280.5,1281.5,1252.25,3
2022-01-11,1286.5,1280.25,1282.0,1253.0,1
2022-01-12,1298.0,1291.5,1293.0,1263.5,1
2022-01-13,1295.5,1292.5,1295.25,1267.0,1
2022-01-14,1282.5,1279.5,1282.25,1256.0,1
2022-01-18,1274.75,1272.25,1274.5,1248.0,4
2022-01-19,1293.5,1290.75,1293.5,1267.25,1
2022-01-20,1306.5,1302.5,1305.5,1279.5,1
2022-01-21,1305.5,1302.75,1306.0,1280.0,1
2022-01-24,1298.25,1295.5,1298.5,1272.75,3
2022-01-25,1310.75,1309.25,1312.5,1285.5,1
2022-01-26,1321.75,1319.0,1322.0,1294.5,1
2022-01-27,1321.5,1317.75,1320.75,1293.0,1
2022-01-28,1327.5,1321.25,1322.75,1293.5,1
2022-01-31,1344.75,1339.25,1340.0,1292.25,3
2022-02-01,1359.5,1353.75,1353.75,1306.75,1
2022-02-02,1360.5,1351.5,1348.25,1299.0,1
2022-02-03,1364.0,1354.5,1352.0,1299.25,1
2022-02-04,1367.75,1358.5,1355.75,1294.0,1
2022-02-07,1386.75,1377.25,1374.75,1312.0,3
2022-02-08,1387.25,1379.0,1376.5,1313.75,1
2022-02-09,1407.5,1396.5,1393.25,1330.5,1
2022-02-10,1399.75,1387.5,1383.0,1314.75,1
2022-02-11,1410.75,1397.0,1393.75,1325.5,1
2022-02-14,1412.75,1401.75,1398.25,1330.0,3
2022-02-15,1406.75,1398.0,1394.5,1328.75,1
2022-02-16,1426.5,1415.5,1411.25,1341.25,1
2022-02-17,1430.0,1418.25,1413.0,1343.0,1
2022-02-18,1433.75,1423.25,1419.25,1349.25,1
2022-02-22,1446.0,1436.25,1431.25,1361.75,4
2022-02-23,1454.25,1442.75,1437.25,1365.25,1
2022-02-24,1418.0,1408.25,1404.25,1332.25,1
2022-02-25,1388.75,1382.0,1379.25,1307.25,1
2022-02-28,1410.0,1402.0,1398.75,1326.75,3
2022-03-01,1449.25,1441.25,1438.25,1366.25,1
2022-03-02,1424.0,1416.5,1414.0,1342.0,1
2022-03-03,1414.5,1404.75,1400.25,1332.75,1
2022-03-04,1405.25,1396.0,1392.0,1324.5,1
2022-03-07,1397.25,1385.0,1378.5,1312.25,3
2022-03-08,1404.0,1386.75,1379.25,1316.25,1
2022-03-09,1413.5,1396.75,1390.0,1335.25,1
2022-03-10,1429.0,1413.0,1407.0,1349.75,1
2022-03-11,1431.25,1415.75,1410.75,1350.75,1
2022-03-14,1423.0,1407.75,1402.75,1342.75,3
2022-03-15,1412.25,1397.75,1393.0,1333.0,1
2022-03-16,1406.25,1391.75,1386.75,1326.75,1
2022-03-17,1416.5,1403.75,1399.0,1336.75,1
2022-03-18,1420.0,1410.0,1406.75,1348.0,1
2022-03-21,1444.25,1434.25,1431.25,1371.25,3
2022-03-22,1451.75,1441.5,1438.0,1376.75,1
2022-03-23,1458.75,1448.0,1444.5,1379.5,1
2022-03-24,1448.5,1439.75,1437.0,1373.25,1
2022-03-25,1455.5,1447.0,1444.0,1379.0,1
2022-03-28,1432.5,1425.75,1423.75,1359.5,3
2022-03-29,1418.25,1413.0,1411.25,1350.5,1
2022-03-30,1435.75,1429.75,1427.0,1366.0,1
2022-03-31,1392.75,1388.75,1387.5,1329.75,1
2022-04-01,1387.75,1386.75,1387.5,1336.75,1
2022-04-04,1420.0,1418.5,1419.0,1367.5,3
2022-04-05,1432.0,1429.75,1430.0,1377.0,1
2022-04-06,1425.25,1424.0,1424.75,1373.0,1
2022-04-07,1449.25,1448.25,1448.75,1398.0,1
2022-04-08,1474.5,1471.5,1471.25,1418.5,1
2022-04-11,1468.5,1466.0,1466.25,1415.75,3
2022-04-12,1486.25,1482.5,1481.5,1430.0,1
2022-04-13,1484.25,1480.25,1479.25,1428.5,1
2022-04-14,1482.0,1479.0,1479.0,1428.75,1
2022-04-19,1501.25,1498.25,1498.25,1446.0,5
2022-04-20,1509.25,1505.75,1505.5,1455.0,1
2022-04-21,1514.25,1511.5,1511.75,1458.25,1
2022-04-22,1492.75,1491.25,1492.0,1441.25,1
2022-04-25,1483.25,1482.5,1482.5,1434.0,3
2022-04-26,1492.75,1492.5,1493.0,1444.5,1
2022-04-27,1509.0,1507.5,1507.75,1458.0,1
2022-04-28,1504.5,1502.75,1503.75,1455.25,1
2022-04-29,1498.75,1497.0,1497.25,1446.25,1
2022-05-02,1479.0,1478.5,1479.25,1430.5,3
2022-05-03,1469.0,1469.0,1470.25,1425.25,1
2022-05-04,1477.75,1477.25,1478.75,1432.0,1
2022-05-05,1483.0,1483.0,1483.25,1437.0,1
