Date,Mar 2025,May 2025,Jul 2025,Sep 2025,diff
2024-01-02,662.75,666.75,660.75,667.75,1
2024-01-03,659.5,664.0,658.5,666.0,1
2024-01-04,666.0,670.0,662.0,669.5,1
2024-01-05,669.0,672.25,664.25,671.75,1
2024-01-08,656.25,661.5,654.25,662.0,3
2024-01-09,667.75,672.5,664.25,671.75,1
2024-01-10,669.5,673.75,666.0,673.5,1
2024-01-11,662.25,666.75,659.25,666.5,1
2024-01-12,657.0,662.0,656.75,663.75,1
2024-01-16,646.5,653.25,650.25,657.25,4
2024-01-17,642.25,648.0,643.75,651.75,1
2024-01-18,644.0,650.5,646.25,653.25,1
2024-01-19,650.0,656.5,651.75,658.75,1
2024-01-22,653.0,659.25,654.25,661.25,3
2024-01-23,653.0,659.0,653.75,661.0,1
2024-01-24,663.25,668.5,661.5,668.75,1
2024-01-25,663.5,668.75,661.5,668.75,1
2024-01-26,653.75,660.25,655.0,662.25,1
2024-01-29,648.25,654.5,648.75,656.25,3
2024-01-30,658.75,664.75,657.25,662.75,1
2024-01-31,649.75,656.5,650.5,656.75,1
2024-02-01,650.25,656.25,649.25,655.5,1
2024-02-02,651.5,657.75,650.25,656.0,1
2024-02-05,642.5,649.25,643.75,650.0,3
2024-02-06,642.75,649.5,645.75,651.75,1
2024-02-07,645.25,652.25,647.75,653.75,1
2024-02-08,633.0,640.0,636.5,642.25,1
2024-02-09,632.75,639.0,635.25,641.25,1
2024-02-12,632.25,638.25,634.75,640.5,3
2024-02-13,630.25,636.75,634.25,640.0,1
2024-02-14,620.5,627.75,623.75,629.25,1
2024-02-15,605.75,613.0,611.25,617.0,1
2024-02-16,597.75,605.0,603.75,609.25,1
2024-02-20,613.5,619.75,616.75,622.25,4
2024-02-21,609.5,615.75,613.0,618.5,1
2024-02-22,612.25,618.5,616.0,621.5,1
2024-02-23,603.75,611.25,609.5,615.0,1
2024-02-26,612.5,620.75,619.25,625.25,3
2024-02-27,620.0,627.75,628.25,634.5,1
2024-02-28,615.25,624.0,625.0,631.75,1
2024-02-29,614.75,623.0,624.5,631.0,1
2024-03-01,599.25,608.75,612.75,620.25,1
2024-03-04,604.5,613.75,617.5,625.0,3
2024-03-05,594.5,604.5,609.25,617.75,1
2024-03-06,585.75,597.0,603.0,612.25,1
2024-03-07,588.0,599.5,605.5,614.5,1
2024-03-08,599.5,611.25,617.0,626.0,1
2024-03-11,610.75,622.25,627.5,636.5,3
2024-03-12,609.0,620.0,624.25,633.0,1
2024-03-13,608.75,620.25,624.75,633.5,1
2024-03-14,601.25,613.0,618.25,627.25,1
2024-03-15,601.0,613.0,618.25,627.5,1
2024-03-18,612.0,623.25,627.25,635.75,3
2024-03-19,620.0,631.0,635.0,643.75,1
2024-03-20,615.25,626.75,631.0,638.5,1
2024-03-21,617.5,628.5,632.25,640.25,1
2024-03-22,624.75,635.75,639.25,646.75,1
2024-03-25,626.75,637.75,640.5,648.25,3
2024-03-26,620.0,631.75,635.5,644.0,1
2024-03-27,621.75,633.0,636.0,644.0,1
2024-03-28,628.25,638.5,640.75,647.5,1
2024-04-02,622.5,634.5,637.75,645.25,5
2024-04-03,632.0,643.0,645.25,650.75,1
2024-04-04,632.0,642.75,645.0,650.75,1
2024-04-05,639.0,648.75,648.75,654.25,1
2024-04-08,640.25,650.5,650.25,655.75,3
2024-04-09,631.5,642.25,642.75,648.75,1
2024-04-10,631.75,642.5,643.25,649.25,1
2024-04-11,624.5,635.0,636.0,642.25,1
2024-04-12,628.0,638.0,639.25,645.25,1
2024-04-15,625.5,636.0,637.75,644.25,3
2024-04-16,621.25,631.75,633.25,640.0,1
2024-04-17,613.0,624.75,627.25,634.25,1
2024-04-18,615.25,626.75,628.75,635.75,1
2024-04-19,629.5,641.25,643.25,651.25,1
2024-04-23,660.25,669.25,666.5,671.75,4
2024-04-24,672.25,681.0,677.0,681.75,1
2024-04-25,680.5,688.0,682.5,687.25,1
2024-04-26,684.25,692.25,687.5,692.0,1
2024-04-29,674.25,684.0,681.25,687.5,3
2024-04-30,670.0,681.0,681.25,688.75,1
2024-05-02,671.5,683.0,685.0,694.0,2
2024-05-03,688.25,698.75,698.0,706.0,1
2024-05-06,711.5,719.75,716.75,723.75,3
2024-05-07,708.0,716.75,715.5,722.25,1
2024-05-08,699.75,708.5,707.25,714.0,1
2024-05-09,701.0,709.5,708.0,715.25,1
2024-05-10,722.0,727.75,722.75,728.25,1
2024-05-13,743.75,747.0,735.25,738.0,3
2024-05-14,735.0,740.25,731.0,734.75,1
2024-05-15,727.25,732.75,724.75,728.25,1
2024-05-16,724.75,730.5,722.75,726.25,1
2024-05-17,716.25,723.75,718.25,722.5,1
2024-05-20,749.5,755.25,745.75,747.75,3
2024-05-21,756.5,760.75,749.75,751.5,1
2024-05-22,749.5,753.25,744.0,745.25,1
2024-05-23,753.0,754.75,742.0,742.25,1
2024-05-24,754.5,756.5,744.0,744.0,1
2024-05-28,757.0,759.0,747.75,747.25,4
2024-05-29,752.25,756.25,748.75,749.5,1
2024-05-30,741.75,747.25,742.5,744.5,1
2024-05-31,740.25,746.25,742.25,744.25,1
2024-06-03,736.0,742.25,737.75,738.75,3
2024-06-04,724.25,731.0,727.0,729.0,1
2024-06-05,714.75,722.75,718.75,720.75,1
2024-06-06,707.75,716.5,711.5,713.5,1
2024-06-07,697.5,706.75,701.5,704.0,1
2024-06-10,680.0,689.75,686.75,691.25,3
2024-06-11,690.0,698.5,695.5,698.5,1
2024-06-12,678.5,687.5,686.75,692.0,1
2024-06-13,677.5,686.25,683.5,688.0,1
2024-06-14,666.75,674.75,671.25,675.75,1
2024-06-17,649.0,657.25,656.0,662.25,3
2024-06-18,642.75,651.75,652.25,658.75,1
2024-06-20,628.5,637.75,639.25,645.75,2
2024-06-21,618.25,628.75,631.75,638.75,1
2024-06-24,612.5,622.75,626.75,634.5,3
2024-06-25,600.5,611.25,616.25,624.75,1
2024-06-26,601.0,611.25,615.5,624.75,1
2024-06-27,619.0,628.0,630.5,638.0,1
2024-06-28,615.5,625.25,628.25,636.75,1
2024-07-01,630.75,639.75,641.75,648.75,3
2024-07-02,623.75,633.0,634.75,642.25,1
2024-07-03,618.25,629.0,632.5,640.5,1
2024-07-05,632.0,642.0,644.75,652.25,2
2024-07-08,614.25,624.75,629.5,638.25,3
2024-07-09,615.5,625.75,630.0,638.75,1
2024-07-10,605.0,615.75,620.75,631.0,1
2024-07-11,614.75,625.25,630.5,640.0,1
2024-07-12,597.5,609.75,616.25,627.25,1
2024-07-15,577.5,590.25,598.5,611.0,3
2024-07-16,576.25,588.5,595.5,607.5,1
2024-07-17,583.75,595.0,601.0,612.5,1
2024-07-18,580.75,592.25,598.25,609.5,1
2024-07-19,588.5,599.5,603.25,613.25,1
2024-07-22,593.75,604.75,608.25,617.75,3
2024-07-23,588.75,600.25,604.0,613.5,1
2024-07-24,591.0,602.0,606.25,616.25,1
2024-07-25,582.75,594.5,599.75,609.75,1
2024-07-26,569.0,581.0,586.75,597.5,1
2024-07-29,576.25,588.0,592.25,602.25,3
2024-07-30,570.25,581.75,585.75,595.5,1
2024-07-31,573.25,585.25,588.5,598.0,1
