Date,Mar,May,Jul,Sep,diff,Prime
2018-01-02,259.25,259.25,259.25,260.5,1,4.5
2018-01-03,259.75,259.75,259.75,261.0,1,4.5
2018-01-04,260.5,260.5,260.5,261.75,1,4.5
2018-01-05,262.0,262.0,262.0,263.25,1,4.5
2018-01-08,251.0,251.0,251.0,252.25,3,4.5
2018-01-09,251.0,251.0,251.0,252.25,1,4.5
2018-01-10,252.75,252.75,252.75,254.0,1,4.5
2018-01-11,255.5,255.5,255.5,256.75,1,4.5
2018-01-12,254.25,254.25,254.25,255.5,1,4.5
2018-01-16,254.5,254.5,254.5,255.75,4,4.5
2018-01-17,258.75,258.75,258.75,260.0,1,4.5
2018-01-18,264.25,264.25,264.25,265.5,1,4.5
2018-01-19,259.0,259.0,259.0,260.25,1,4.5
2018-01-22,265.25,265.25,265.25,266.5,3,4.5
2018-01-23,264.0,264.0,264.0,265.25,1,4.5
2018-01-24,262.5,262.5,262.5,263.75,1,4.5
2018-01-25,258.0,258.0,258.0,259.25,1,4.5
2018-01-26,260.0,260.0,260.0,261.25,1,4.5
2018-01-29,263.0,263.0,263.0,264.25,3,4.5
2018-01-30,267.25,267.25,267.25,268.5,1,4.5
2018-01-31,268.0,268.0,268.0,269.25,1,4.5
2018-02-01,268.25,268.25,268.25,269.5,1,4.5
2018-02-02,268.5,268.5,268.5,269.75,1,4.5
2018-02-05,270.25,270.25,270.25,271.5,3,4.5
2018-02-06,271.0,271.0,271.0,272.25,1,4.5
2018-02-07,268.75,268.75,268.75,270.0,1,4.5
2018-02-08,262.75,262.75,262.75,264.0,1,4.5
2018-02-09,264.0,264.0,264.0,265.25,1,4.5
2018-02-12,267.25,267.25,267.25,268.5,3,4.5
2018-02-13,267.5,267.5,267.5,268.75,1,4.5
2018-02-14,262.25,262.25,262.25,263.5,1,4.5
2018-02-15,267.0,267.0,272.0,273.25,1,4.5
2018-02-16,268.0,268.0,273.0,274.25,1,4.5
2018-02-20,262.5,262.5,267.5,268.75,4,4.5
2018-02-21,255.0,255.0,260.0,261.25,1,4.5
2018-02-22,258.25,258.25,263.25,264.5,1,4.5
2018-02-23,257.25,257.25,262.25,263.5,1,4.5
2018-02-26,257.75,257.75,262.75,264.0,3,4.5
2018-02-27,264.5,264.5,269.5,270.75,1,4.5
2018-02-28,266.0,266.0,271.0,272.25,1,4.5
2018-03-01,267.0,267.0,272.0,273.25,1,4.5
2018-03-02,263.5,263.5,268.5,269.75,1,4.5
2018-03-05,268.5,270.5,275.5,276.75,3,4.5
2018-03-06,268.75,271.75,276.75,278.0,1,4.5
2018-03-07,268.5,271.75,276.75,278.0,1,4.5
2018-03-08,268.75,272.25,277.25,278.5,1,4.5
2018-03-09,266.5,270.25,275.25,276.5,1,4.5
2018-03-12,268.25,271.5,276.5,277.75,3,4.5
2018-03-13,269.75,273.25,278.25,279.5,1,4.5
2018-03-14,263.5,267.0,272.0,273.25,1,4.5
2018-03-15,260.0,263.75,268.75,270.0,1,4.5
2018-03-16,257.0,260.75,265.75,267.0,1,4.5
2018-03-19,254.75,258.5,263.5,264.75,3,4.5
2018-03-20,257.75,261.5,266.5,267.75,1,4.5
2018-03-21,258.5,262.25,267.25,268.5,1,4.5
2018-03-22,257.0,260.75,265.75,267.0,1,4.75
2018-03-23,257.5,261.25,266.25,267.5,1,4.75
2018-03-26,258.0,261.75,266.75,268.0,3,4.75
2018-03-27,258.0,261.75,266.75,268.0,1,4.75
2018-03-28,256.0,259.75,264.75,266.0,1,4.75
2018-03-29,256.75,260.5,265.5,266.75,1,4.75
2018-04-03,258.25,262.0,267.0,268.25,5,4.75
2018-04-04,256.75,260.5,265.5,266.75,1,4.75
2018-04-05,260.5,264.25,269.25,270.5,1,4.75
2018-04-06,259.75,263.5,268.5,269.75,1,4.75
2018-04-09,262.5,266.25,271.25,272.5,3,4.75
2018-04-10,263.0,266.75,271.75,273.0,1,4.75
2018-04-11,266.75,270.5,275.5,276.75,1,4.75
