Date,Mar,May,Jul,Sep,diff,Prime
2018-01-02,500.5,507.0,511.75,522.0,1,4.5
2018-01-03,501.75,508.5,513.5,523.75,1,4.5
2018-01-04,501.75,508.75,512.75,523.0,1,4.5
2018-01-05,499.5,506.5,508.75,519.0,1,4.5
2018-01-08,496.75,504.25,507.25,517.5,3,4.5
2018-01-09,501.75,508.75,510.75,521.0,1,4.5
2018-01-10,505.0,512.0,513.25,523.5,1,4.5
2018-01-11,502.25,509.0,511.5,521.75,1,4.5
2018-01-12,492.5,500.0,502.25,511.75,1,4.5
2018-01-16,490.5,498.5,499.75,509.0,4,4.5
2018-01-17,493.25,501.5,503.25,512.5,1,4.5
2018-01-18,498.25,506.75,509.0,517.75,1,4.5
2018-01-19,496.5,505.0,506.5,515.25,1,4.5
2018-01-22,500.25,508.25,509.75,518.25,3,4.5
2018-01-23,496.25,504.75,506.75,515.5,1,4.5
2018-01-24,506.0,512.75,513.75,522.25,1,4.5
2018-01-25,507.0,514.25,515.5,523.75,1,4.5
2018-01-26,513.0,520.0,521.25,529.25,1,4.5
2018-01-29,521.5,527.5,528.75,537.5,3,4.5
2018-01-30,531.25,536.5,536.5,545.0,1,4.5
2018-01-31,525.0,530.0,531.25,540.0,1,4.5
2018-02-01,525.0,530.0,530.75,540.5,1,4.5
2018-02-02,520.75,527.0,527.75,537.0,1,4.5
2018-02-05,514.75,522.25,524.25,533.5,3,4.5
2018-02-06,521.0,528.5,529.25,538.0,1,4.5
2018-02-07,532.75,538.75,538.5,548.5,1,4.5
2018-02-08,531.5,537.0,536.75,546.0,1,4.5
2018-02-09,524.75,530.0,529.5,538.0,1,4.5
2018-02-12,538.75,544.5,545.0,552.75,3,4.5
2018-02-13,537.0,542.5,541.75,549.0,1,4.5
2018-02-14,535.25,539.5,539.5,546.75,1,4.5
2018-02-15,541.0,545.25,544.0,550.25,1,4.5
2018-02-16,538.5,543.0,542.5,548.75,1,4.5
2018-02-20,533.0,537.75,537.0,543.25,4,4.5
2018-02-21,528.25,533.0,532.0,538.25,1,4.5
2018-02-22,531.75,536.75,536.0,542.25,1,4.5
2018-02-23,533.0,538.25,537.25,543.75,1,4.5
2018-02-26,541.75,546.75,544.75,550.5,3,4.5
2018-02-27,544.0,548.5,545.0,550.5,1,4.5
2018-02-28,554.5,557.25,553.75,558.25,1,4.5
2018-03-01,572.5,575.25,573.5,577.75,1,4.5
2018-03-02,560.75,565.0,566.0,571.25,1,4.5
2018-03-05,570.0,574.75,575.25,581.0,3,4.5
2018-03-06,569.25,574.5,575.25,580.75,1,4.5
2018-03-07,562.5,567.25,570.75,576.25,1,4.5
2018-03-08,565.75,571.25,574.5,579.75,1,4.5
2018-03-09,556.25,562.75,567.5,573.25,1,4.5
2018-03-12,558.25,565.0,568.0,574.5,3,4.5
2018-03-13,555.75,563.0,567.5,573.75,1,4.5
2018-03-14,559.0,566.75,570.0,576.0,1,4.5
2018-03-15,549.25,557.25,560.5,566.75,1,4.5
2018-03-16,539.75,548.0,550.75,558.5,1,4.5
2018-03-19,523.5,532.25,535.25,543.5,3,4.5
2018-03-20,523.5,532.5,536.0,543.75,1,4.5
2018-03-21,524.5,533.25,538.25,546.25,1,4.5
2018-03-22,526.5,535.25,541.0,549.0,1,4.75
2018-03-23,530.75,539.5,545.5,554.25,1,4.75
2018-03-26,525.75,534.75,541.25,549.75,3,4.75
2018-03-27,521.25,530.0,536.0,544.5,1,4.75
2018-03-28,517.0,525.75,532.0,540.75,1,4.75
2018-03-29,522.25,531.0,535.25,543.75,1,4.75
2018-04-03,528.25,537.5,541.25,548.75,5,4.75
2018-04-04,529.0,538.25,542.0,549.0,1,4.75
2018-04-05,537.25,546.5,550.25,557.75,1,4.75
2018-04-06,546.25,554.5,558.0,565.0,1,4.75
2018-04-09,562.0,570.75,572.25,579.25,3,4.75
2018-04-10,565.75,574.25,574.5,581.0,1,4.75
2018-04-11,563.5,571.75,571.75,579.0,1,4.75
2018-04-12,557.75,566.25,566.25,573.0,1,4.75
2018-04-13,549.0,557.25,558.5,566.75,1,4.75
2018-04-16,538.5,547.5,550.25,558.5,3,4.75
2018-04-17,541.0,550.25,552.5,560.5,1,4.75
2018-04-18,549.0,558.5,560.0,567.75,1,4.75
2018-04-19,550.75,559.75,561.25,569.0,1,4.75
2018-04-20,538.75,547.5,549.0,557.25,1,4.75
2018-04-23,536.75,545.0,546.5,555.0,3,4.75
2018-04-24,544.0,552.25,555.25,562.25,1,4.75
2018-04-25,556.25,564.75,568.25,575.5,1,4.75
2018-04-26,547.25,555.75,559.0,567.0,1,4.75
2018-04-27,555.0,563.25,567.0,574.75,1,4.75
2018-04-30,563.25,570.0,572.0,578.25,3,4.75
2018-05-02,578.75,586.0,589.0,594.75,2,4.75
2018-05-03,588.25,595.5,596.75,600.5,1,4.75
2018-05-04,579.25,587.0,588.25,593.25,1,4.75
2018-05-07,569.25,578.0,579.75,585.0,3,4.75
2018-05-08,571.5,580.5,582.5,587.5,1,4.75
2018-05-09,567.75,577.0,579.25,584.75,1,4.75
2018-05-10,562.5,572.0,574.75,580.0,1,4.75
2018-05-11,555.5,565.25,569.0,575.5,1,4.75
2018-05-14,548.5,559.0,563.0,569.75,3,4.75
2018-05-15,549.25,559.0,562.5,568.0,1,4.75
2018-05-16,549.75,559.25,563.0,568.0,1,4.75
2018-05-17,552.75,562.75,567.0,572.25,1,4.75
2018-05-18,572.5,581.75,585.5,589.75,1,4.75
2018-05-21,565.5,575.25,579.75,584.75,3,4.75
2018-05-22,578.0,588.0,591.25,595.75,1,4.75
2018-05-23,585.5,594.75,597.5,601.5,1,4.75
2018-05-24,583.25,591.75,593.5,597.5,1,4.75
2018-05-25,594.5,602.25,603.25,606.5,1,4.75
2018-05-29,588.5,596.0,596.5,600.0,4,4.75
2018-05-30,575.25,584.0,586.25,591.5,1,4.75
2018-05-31,580.25,589.5,592.25,597.0,1,4.75
2018-06-01,579.75,590.0,593.0,598.5,1,4.75
2018-06-04,563.75,575.5,580.0,587.0,3,4.75
2018-06-05,568.75,580.5,584.5,591.5,1,4.75
2018-06-06,577.0,588.25,591.5,597.5,1,4.75
2018-06-07,583.5,594.25,596.25,602.0,1,4.75
2018-06-08,577.5,588.25,590.75,597.0,1,4.75
2018-06-11,572.25,583.0,586.25,592.25,3,4.75
2018-06-12,590.75,601.25,604.0,610.0,1,4.75
2018-06-13,575.0,586.25,590.0,596.75,1,4.75
2018-06-14,560.0,571.75,576.75,584.25,1,5.0
2018-06-15,553.75,565.0,569.5,576.75,1,5.0
2018-06-18,539.75,552.5,558.5,566.0,3,5.0
2018-06-19,527.75,540.0,545.75,554.5,1,5.0
2018-06-20,534.0,545.5,550.25,558.75,1,5.0
2018-06-21,539.5,551.0,555.25,563.25,1,5.0
2018-06-22,538.5,550.25,554.75,563.0,1,5.0
2018-06-25,526.25,538.0,543.25,552.75,3,5.0
2018-06-26,517.75,529.75,535.5,545.0,1,5.0
2018-06-27,519.25,530.75,536.25,545.0,1,5.0
2018-06-28,515.25,527.0,532.0,540.75,1,5.0
2018-06-29,532.25,543.75,548.5,556.5,1,5.0
2018-07-02,512.5,524.5,529.5,538.5,3,5.0
2018-07-03,521.5,532.0,537.0,545.5,1,5.0
2018-07-05,533.25,542.5,546.25,554.5,2,5.0
2018-07-06,543.75,553.0,557.5,566.0,1,5.0
2018-07-09,540.5,550.5,555.0,563.25,3,5.0
2018-07-10,527.25,538.25,543.25,552.0,1,5.0
2018-07-11,509.25,521.75,527.75,537.5,1,5.0
