Date,Maize Mar,Maize May,Maize Jul,Maize Sep,diff,Prime,Oats Mar,Oats May,Oats Jul,Oats Sep,Soybeans Mar,Soybeans May,Soybeans Jul,Soybeans Sep,Wheat Mar,Wheat May,Wheat Jul,Wheat Sep
2018-01-02,395.5,401.25,405.75,403.5,1,4.5,259.25,259.25,259.25,260.5,994.5,999.75,1006.0,995.5,500.5,507.0,511.75,522.0
2018-01-03,395.5,401.25,406.0,403.75,1,4.5,259.75,259.75,259.75,261.0,998.0,1003.25,1009.25,999.0,501.75,508.5,513.5,523.75
2018-01-04,394.0,400.25,405.0,402.25,1,4.5,260.5,260.5,260.5,261.75,997.5,1002.75,1008.75,998.25,501.75,508.75,512.75,523.0
2018-01-05,394.0,400.25,405.0,402.25,1,4.5,262.0,262.0,262.0,263.25,998.5,1003.75,1009.75,999.25,499.5,506.5,508.75,519.0
2018-01-08,390.5,396.75,401.75,399.0,3,4.5,251.0,251.0,251.0,252.25,997.0,1002.25,1008.25,998.0,496.75,504.25,507.25,517.5
2018-01-09,392.0,398.0,402.75,400.0,1,4.5,251.0,251.0,251.0,252.25,996.25,1001.5,1007.5,997.0,501.75,508.75,510.75,521.0
2018-01-10,392.25,398.0,402.25,400.0,1,4.5,252.75,252.75,252.75,254.0,987.5,993.0,999.0,987.5,505.0,512.0,513.25,523.5
2018-01-11,392.25,397.5,402.25,400.25,1,4.5,255.5,255.5,255.5,256.75,985.0,990.5,996.75,985.5,502.25,509.0,511.5,521.75
2018-01-12,389.75,395.25,400.0,398.0,1,4.5,254.25,254.25,254.25,255.5,996.75,1001.75,1007.75,996.75,492.5,500.0,502.25,511.75
2018-01-16,391.75,397.0,401.5,400.0,4,4.5,254.5,254.5,254.5,255.75,1001.0,1005.5,1011.0,999.25,490.5,498.5,499.75,509.0
2018-01-17,395.25,400.25,405.0,403.0,1,4.5,258.75,258.75,258.75,260.0,1001.0,1005.25,1010.75,999.25,493.25,501.5,503.25,512.5
2018-01-18,394.25,399.5,404.25,401.75,1,4.5,264.25,264.25,264.25,265.5,1005.25,1009.75,1015.25,1003.5,498.25,506.75,509.0,517.75
